train_loss,epoch,step,val_loss
0.06352103501558304,0,49,
0.048541098833084106,0,99,
0.05260072275996208,0,149,
0.050420720130205154,0,199,
0.047423381358385086,0,249,
0.04537922888994217,0,299,
0.04867861792445183,0,349,
0.04804606735706329,0,399,
,0,429,0.04706719145178795
0.048428889364004135,1,449,
0.04596662521362305,1,499,
0.04104280471801758,1,549,
0.044001705944538116,1,599,
0.045041583478450775,1,649,
0.04411221295595169,1,699,
0.05019661784172058,1,749,
0.04509248584508896,1,799,
0.047775398939847946,1,849,
,1,859,0.04451391473412514
0.043440837413072586,2,899,
0.044747043401002884,2,949,
0.045297905802726746,2,999,
0.05096462741494179,2,1049,
0.04726391285657883,2,1099,
0.04137936234474182,2,1149,
0.03979958966374397,2,1199,
0.04209418222308159,2,1249,
,2,1289,0.042963944375514984
0.04942452907562256,3,1299,
0.04367825388908386,3,1349,
0.03900112211704254,3,1399,
0.04581252485513687,3,1449,
0.04492071643471718,3,1499,
0.046185873448848724,3,1549,
0.04608701169490814,3,1599,
0.045827921479940414,3,1649,
0.042661987245082855,3,1699,
,3,1719,0.04207257926464081
0.04202689230442047,4,1749,
0.03971044719219208,4,1799,
0.03779027983546257,4,1849,
0.043923359364271164,4,1899,
0.04168401286005974,4,1949,
0.04349060729146004,4,1999,
0.044232845306396484,4,2049,
0.042898159474134445,4,2099,
0.045207031071186066,4,2149,
,4,2149,0.04150731861591339
0.04603467509150505,5,2199,
0.04039810225367546,5,2249,
0.039243053644895554,5,2299,
0.040385179221630096,5,2349,
0.03947141766548157,5,2399,
0.04328223690390587,5,2449,
0.04413025453686714,5,2499,
0.043944280594587326,5,2549,
,5,2579,0.040929362177848816
0.03749890625476837,6,2599,
0.03568131476640701,6,2649,
0.04210329428315163,6,2699,
0.03929433599114418,6,2749,
0.038475871086120605,6,2799,
0.03921531140804291,6,2849,
0.04035612940788269,6,2899,
0.04231138899922371,6,2949,
0.04588610678911209,6,2999,
,6,3009,0.040529441088438034
0.04360300675034523,7,3049,
0.03616412729024887,7,3099,
0.04111073911190033,7,3149,
0.04193712770938873,7,3199,
0.03918490186333656,7,3249,
0.04134736582636833,7,3299,
0.042403873056173325,7,3349,
0.041902463883161545,7,3399,
,7,3439,0.0402270182967186
0.03598302975296974,8,3449,
0.041996732354164124,8,3499,
0.038377631455659866,8,3549,
0.03875408321619034,8,3599,
0.03899936005473137,8,3649,
0.04020341858267784,8,3699,
0.041229017078876495,8,3749,
0.04217256233096123,8,3799,
0.04223209246993065,8,3849,
,8,3869,0.03997151181101799
0.03710426017642021,9,3899,
0.03841317817568779,9,3949,
0.03869195654988289,9,3999,
0.03185931593179703,9,4049,
0.03659829869866371,9,4099,
0.039253633469343185,9,4149,
